                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                  1.136,                 1.1078,                  1.342,                0.74645,                0.55897,                0.62516,                0.40929,                 1.3805,                  1.666,                 1.5966,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.0972,                  1.072,                  1.328,                0.78774,                 0.4587,                0.58162,                 0.3435,                 1.4444,                 1.8765,                 1.6725,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.0652,                 1.0505,                 1.2952,                0.66695,                0.44891,                0.53129,                0.33451,                 1.4545,                 1.9313,                 1.7027,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.0756,                 1.0567,                 1.2994,                0.74889,                0.47681,                0.58885,                0.36816,                 1.3061,                 1.7218,                 1.6128,               0.001052,               0.001052,               0.001052
                     19,                 1.0975,                 1.0486,                 1.3268,                0.68564,                0.45313,                0.55899,                0.32419,                   1.45,                 1.7225,                 1.7956,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.0493,                 1.0195,                 1.2841,                0.64782,                 0.4289,                0.51949,                0.32415,                 1.3367,                 1.6447,                 1.6892,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.0713,                 1.0621,                 1.3116,                 0.6057,                0.50092,                0.55414,                0.36324,                 1.3235,                 1.7389,                 1.6621,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.0524,                 1.0138,                 1.2955,                0.51266,                0.52312,                0.55362,                 0.3556,                 1.3637,                  1.489,                 1.6578,              0.0010025,              0.0010025,              0.0010025
                     23,                 1.0061,                 0.9962,                 1.2489,                0.67879,                0.48983,                0.58267,                0.36257,                 1.3987,                  1.604,                 1.6219,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.0573,                  1.038,                  1.315,                0.59944,                0.45965,                0.48003,                0.30854,                 1.4154,                 1.9953,                 1.8208,             0.00097775,             0.00097775,             0.00097775
                     25,                0.94572,                0.92027,                 1.2342,                 0.8146,                0.42717,                0.58117,                0.40104,                 1.2745,                 1.5682,                 1.6216,             0.00096537,             0.00096537,             0.00096537
                     26,                 1.0213,                 1.0091,                 1.2667,                0.81478,                0.40505,                 0.5678,                0.38632,                 1.2974,                  1.724,                 1.6098,               0.000953,               0.000953,               0.000953
                     27,                 1.0347,                 1.0149,                 1.2855,                0.79585,                0.41793,                0.60035,                0.39668,                 1.3197,                 1.7668,                 1.5856,             0.00094062,             0.00094062,             0.00094062
                     28,                0.98401,                0.91414,                 1.2397,                 0.7465,                0.62601,                 0.6671,                0.44179,                 1.1902,                 1.2761,                 1.4974,             0.00092825,             0.00092825,             0.00092825
                     29,                 0.9814,                0.94623,                 1.2636,                0.78287,                0.53913,                0.61421,                0.39633,                 1.3262,                 1.5987,                 1.6837,             0.00091588,             0.00091588,             0.00091588
                     30,                0.98509,                0.94963,                 1.2621,                 0.8376,                0.48843,                0.62436,                0.41724,                 1.2512,                 1.4481,                 1.5581,              0.0009035,              0.0009035,              0.0009035
                     31,                0.95451,                0.88489,                 1.2112,                0.66619,                0.58967,                0.62626,                0.43148,                 1.1622,                  1.251,                 1.4922,             0.00089112,             0.00089112,             0.00089112
                     32,                0.91973,                0.87693,                 1.2018,                0.70759,                0.56242,                0.59453,                0.40216,                 1.2712,                 1.5018,                 1.5692,             0.00087875,             0.00087875,             0.00087875
                     33,                0.91589,                0.85913,                 1.1884,                0.63596,                0.60217,                0.63776,                  0.414,                 1.2658,                  1.312,                 1.5134,             0.00086637,             0.00086637,             0.00086637
                     34,                0.92958,                0.88638,                 1.2177,                0.81402,                0.60543,                0.67663,                0.43623,                 1.2664,                 1.2748,                 1.5017,               0.000854,               0.000854,               0.000854
                     35,                0.93718,                 0.8697,                 1.2007,                0.73114,                  0.595,                 0.6748,                0.43662,                 1.2248,                 1.3982,                 1.5152,             0.00084162,             0.00084162,             0.00084162
                     36,                0.87827,                0.83045,                 1.1933,                0.73266,                0.53694,                0.60237,                0.39814,                 1.2517,                 1.5189,                 1.5501,             0.00082925,             0.00082925,             0.00082925
                     37,                0.85309,                0.81455,                 1.1586,                0.69134,                0.51793,                0.61966,                0.40747,                    1.3,                 1.5524,                  1.576,             0.00081688,             0.00081688,             0.00081688
                     38,                0.89372,                0.83285,                 1.1875,                0.75469,                0.52818,                0.64946,                0.43702,                 1.2215,                 1.5126,                 1.4907,              0.0008045,              0.0008045,              0.0008045
                     39,                0.86126,                 0.8034,                 1.1862,                0.76971,                0.63913,                0.70994,                0.45797,                 1.1442,                 1.2706,                 1.4176,             0.00079213,             0.00079213,             0.00079213
